Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
54.0,0.52272,-0.256329,-0.339982,1.037135,1.259778,1.083966,-0.16823,-2.139789,-0.148206,-0.75798,-0.129725,-0.671091,-0.02074,-1.039276,-1.280717,1.222691,-0.969658,0.000332,0.954515,0.914304,0.794848,0.302867,0.724003,1.373088,0.425023,-1.837202,-0.528533,0.69637,151.54,0
72.0,-0.627096,1.620106,-0.06318,0.085249,1.124744,-0.18285,0.176277,0.899123,-1.472271,-0.285298,0.829153,0.0656,1.467334,-1.575923,-1.690002,0.769687,0.865807,-0.19325,0.400394,0.745207,-0.813863,-0.706848,0.189726,0.904089,-1.165957,-0.197948,-0.244237,0.417959,240.71,0
78.0,-0.008698,-0.545884,1.248566,-0.539257,-0.292096,-1.591498,-0.713626,0.516076,0.320602,0.599517,0.550982,2.087714,-0.747859,-1.619424,-1.050553,-0.703652,-0.974327,0.093661,1.252655,1.539659,0.504309,2.141272,-0.356373,-1.632519,1.053178,-1.838594,-0.755003,0.520112,66.8,0
90.0,-0.102381,-0.190953,-1.18079,-0.010802,1.003662,0.019968,-0.830226,-1.247538,-0.809595,0.392334,0.343602,-0.800507,-2.210759,0.420013,-0.897707,0.689062,-0.75611,-0.9879,0.153172,2.357699,0.74903,0.136219,0.358852,-1.751116,-1.12234,-2.510929,1.729874,1.527386,5.7,0
98.0,0.392819,0.135115,-1.55159,-0.2193,1.792392,0.131416,-0.564646,-1.758071,1.380306,-0.070084,-1.756734,-0.924266,-1.277538,-0.131744,0.207339,-0.503217,0.777047,0.078802,1.062312,-0.357194,3.045326,-0.564489,-0.90333,-1.026301,-0.210941,-1.719536,0.294563,-1.905304,49.71,0
99.0,0.161671,-1.351252,-0.381293,0.60454,2.304038,-1.078001,-0.150317,-0.723759,-0.86987,-0.714973,0.824066,-0.488056,2.249313,0.415979,-1.010011,-0.366705,-0.801847,0.800069,-1.63878,-1.340951,-0.591546,0.682947,1.23306,1.380542,0.529802,-0.08289,0.794626,-1.144501,21.83,0
111.0,-1.844657,0.436638,-1.005678,-0.065307,0.119627,0.24812,0.937792,0.832075,0.195,-0.442015,0.107762,-0.59621,-0.196429,2.618173,0.18219,0.450245,-0.705481,1.020073,0.760272,0.767353,0.214891,1.03419,1.271685,0.283099,-0.114612,0.894571,-0.904125,-0.71796,7.14,0
142.0,-0.0533,-1.741357,0.827595,-0.962914,-0.471491,-0.21328,0.039287,-0.343653,-0.067371,-0.059628,-0.447031,-0.773194,1.081474,-2.104406,-0.205715,-0.468899,0.418791,-1.454293,-0.499785,-0.10236,1.070074,0.332185,-1.183488,-0.487477,0.886051,-1.200775,-0.078644,-0.00912,16.86,0
160.0,-0.385783,2.695752,-0.412731,0.449765,-0.766301,0.527748,0.870788,-0.587964,-0.054702,-0.89528,-1.144404,1.036795,-0.554001,-2.413612,1.765356,-0.802095,-0.246373,1.640907,-0.141742,-0.163337,-1.228173,-1.634834,-0.166386,0.36281,0.305525,-0.481261,0.020258,-1.83721,38.57,0
165.0,0.460167,0.161406,1.973661,0.00748,-0.942669,-0.050723,-0.3278,0.434708,0.026892,-1.259947,-1.635743,0.262908,1.383115,0.079348,0.813297,1.012809,0.266792,-0.814491,0.195308,1.207073,0.529891,0.748245,-0.462546,-0.202354,-0.118727,-0.051338,1.167958,-2.347174,7.91,0
171.0,0.030538,-0.079496,-1.371501,0.671767,-0.7245,-0.357033,1.848782,1.009974,0.574487,0.380777,-0.16468,1.999377,0.802168,-0.74955,-1.400102,0.566838,-0.055869,-1.428938,0.428586,-0.269027,0.530665,0.44174,-0.608264,0.632845,-0.497905,-0.432882,-0.532271,1.130974,4.42,0
171.0,-0.280572,1.372443,1.783485,-0.738719,-2.920995,1.04451,-0.341972,-0.866186,-0.588718,-0.414814,1.297193,0.159911,1.283599,0.49422,-0.309231,-0.390357,0.561609,0.820426,0.996793,-0.261539,0.175206,0.58404,-0.383965,-1.13494,-0.806271,-0.241035,0.662207,1.258977,6.53,0
182.0,-1.356047,-0.597345,-0.357862,0.794717,-0.528111,-0.429732,-1.411993,0.483407,-0.161399,-0.654045,-0.259513,1.126996,-1.004887,-0.84166,1.252252,0.075775,0.669754,0.401752,-0.035335,-0.348299,0.831558,1.162337,1.084188,-1.185472,1.304911,-0.357935,-0.75503,-0.169328,53.56,0
184.0,0.831128,0.540464,-0.255386,0.837666,0.139861,-0.572971,-0.708035,0.410235,-0.082518,-1.375505,0.847161,-0.480275,1.59212,-1.40299,-0.180709,-0.699978,-0.975423,-0.486791,1.770568,0.14337,-0.791708,-1.828628,-1.721363,-0.536463,-0.633688,-0.224051,-2.272184,-0.091682,5.66,0
189.0,1.02773,1.622841,-1.894446,-0.801393,-0.854234,0.145721,-1.219772,1.682263,0.043522,-0.123146,1.592714,-0.016048,0.400303,-0.750798,-1.370502,-0.610362,2.186976,0.633021,0.274535,-0.976373,0.911251,-1.357693,-1.567056,-0.558887,1.954491,1.897894,-0.451237,-0.674199,30.22,0
