customer_id,timestamp,age,gender,region,tenure_months,monthly_charges,total_charges,num_services,contract_type,payment_method,support_tickets,avg_call_minutes,has_online_backup,has_device_protection,has_tech_support,churn
1,2023-01-01 00:00:00,24,F,west,1,29.85,29.85,2,month-to-month,electronic_check,0,159.7,1,0,0,0
2,2023-01-01 00:01:00,74,M,west,34,56.95,1889.5,4,one_year,mailed_check,3,371.0,0,1,0,0
3,2023-01-01 00:02:00,65,M,north,2,53.85,108.15,4,month-to-month,mailed_check,1,584.5,1,0,0,1
4,2023-01-01 00:03:00,50,M,east,45,42.3,1840.75,4,one_year,bank_transfer,1,47.5,0,1,1,0
5,2023-01-01 00:04:00,49,F,south,2,70.7,151.65,2,month-to-month,electronic_check,1,233.0,0,0,0,1
6,2023-01-01 00:05:00,80,F,west,8,99.65,820.5,5,month-to-month,electronic_check,0,400.3,0,1,0,1
7,2023-01-01 00:06:00,24,M,east,22,89.1,1949.4,4,month-to-month,credit_card,2,344.7,1,0,0,0
8,2023-01-01 00:07:00,68,F,west,10,29.75,301.9,2,month-to-month,mailed_check,1,391.0,0,0,0,0
9,2023-01-01 00:08:00,32,F,south,28,104.8,3046.05,6,month-to-month,electronic_check,0,277.9,0,1,1,1
10,2023-01-01 00:09:00,24,M,east,62,56.15,3487.95,4,one_year,bank_transfer,0,160.2,1,0,0,0
11,2023-01-01 00:10:00,56,M,north,13,49.95,587.45,3,month-to-month,mailed_check,0,289.7,0,0,0,0
12,2023-01-01 00:11:00,89,M,west,16,18.95,326.8,1,two_year,credit_card,0,228.9,0,0,0,0
13,2023-01-01 00:12:00,71,M,north,58,100.35,5681.1,5,one_year,credit_card,2,425.6,0,1,0,0
14,2023-01-01 00:13:00,73,M,south,49,103.7,5036.3,6,month-to-month,bank_transfer,2,103.0,1,1,0,1
15,2023-01-01 00:14:00,70,M,west,25,105.5,2686.05,7,month-to-month,electronic_check,1,297.7,0,1,1,0
16,2023-01-01 00:15:00,75,F,west,69,113.25,7895.15,8,two_year,credit_card,1,575.4,1,1,1,0
17,2023-01-01 00:16:00,55,F,south,52,20.65,1022.95,1,one_year,mailed_check,2,319.1,0,0,0,0
18,2023-01-01 00:17:00,27,M,south,71,106.7,7382.25,6,two_year,bank_transfer,1,142.3,0,1,0,0
19,2023-01-01 00:18:00,79,F,north,10,55.2,528.35,4,month-to-month,credit_card,4,561.5,0,1,1,1
20,2023-01-01 00:19:00,50,F,west,21,90.05,1862.9,5,month-to-month,electronic_check,3,146.5,1,1,0,0
21,2023-01-01 00:20:00,54,M,north,1,39.65,39.65,3,month-to-month,electronic_check,0,450.7,0,1,0,1
22,2023-01-01 00:21:00,45,M,north,12,19.8,202.25,1,one_year,bank_transfer,1,65.7,0,0,0,0
23,2023-01-01 00:22:00,31,M,south,1,20.15,20.15,1,month-to-month,mailed_check,3,511.3,0,0,0,1
24,2023-01-01 00:23:00,85,F,north,58,59.9,3505.1,4,two_year,credit_card,0,108.3,1,0,1,0
25,2023-01-01 00:24:00,75,M,north,49,59.6,2970.3,5,month-to-month,credit_card,1,236.5,1,0,1,0
26,2023-01-01 00:25:00,65,F,east,30,55.3,1530.6,4,month-to-month,bank_transfer,0,579.4,1,0,0,0
27,2023-01-01 00:26:00,47,M,east,47,99.35,4749.15,5,month-to-month,electronic_check,0,347.6,1,0,0,1
28,2023-01-01 00:27:00,78,M,south,1,30.2,30.2,2,month-to-month,electronic_check,1,158.4,1,0,0,1
29,2023-01-01 00:28:00,57,M,west,72,90.25,6369.45,8,two_year,credit_card,1,0.4,1,1,1,0
30,2023-01-01 00:29:00,50,F,east,17,64.7,1093.1,4,month-to-month,mailed_check,0,4.1,0,0,0,1
31,2023-01-01 00:30:00,50,F,north,71,96.35,6766.95,6,two_year,credit_card,0,164.8,1,1,1,0
32,2023-01-01 00:31:00,34,M,east,2,95.5,181.65,5,month-to-month,credit_card,2,316.1,0,1,0,0
33,2023-01-01 00:32:00,24,F,east,27,66.15,1874.45,6,one_year,mailed_check,0,290.9,1,1,1,0
34,2023-01-01 00:33:00,58,M,west,1,20.2,20.2,1,month-to-month,bank_transfer,3,553.1,0,0,0,0
35,2023-01-01 00:34:00,82,M,north,1,45.25,45.25,2,month-to-month,bank_transfer,2,458.5,0,0,0,0
36,2023-01-01 00:35:00,22,F,north,72,99.9,7251.7,6,two_year,bank_transfer,1,554.8,1,0,1,0
37,2023-01-01 00:36:00,80,M,south,5,69.7,316.9,2,month-to-month,electronic_check,1,307.1,0,0,0,1
38,2023-01-01 00:37:00,78,F,south,46,74.8,3548.3,3,month-to-month,credit_card,0,268.0,0,1,0,0
39,2023-01-01 00:38:00,38,M,west,34,106.35,3549.25,6,month-to-month,electronic_check,2,339.7,1,1,0,1
40,2023-01-01 00:39:00,64,F,east,11,97.85,1105.4,5,month-to-month,bank_transfer,2,223.3,0,1,0,1
41,2023-01-01 00:40:00,30,M,east,10,49.55,475.7,3,one_year,mailed_check,1,126.5,1,0,0,0
42,2023-01-01 00:41:00,73,F,east,70,69.2,4872.35,5,two_year,credit_card,1,502.0,1,0,0,0
43,2023-01-01 00:42:00,69,F,west,17,20.75,418.25,1,one_year,mailed_check,0,408.3,0,0,0,0
44,2023-01-01 00:43:00,43,F,south,63,79.85,4861.45,7,two_year,credit_card,1,195.4,1,1,1,0
45,2023-01-01 00:44:00,22,F,north,13,76.2,981.45,6,month-to-month,electronic_check,1,267.8,1,0,1,0
46,2023-01-01 00:45:00,88,F,north,49,84.5,3906.7,3,month-to-month,electronic_check,0,135.3,0,0,0,0
47,2023-01-01 00:46:00,50,M,south,2,49.25,97.0,3,month-to-month,mailed_check,1,337.7,1,0,0,0
48,2023-01-01 00:47:00,83,F,east,2,80.65,144.15,3,month-to-month,electronic_check,1,215.0,0,0,0,1
49,2023-01-01 00:48:00,67,M,south,52,79.75,4217.8,6,two_year,credit_card,1,525.3,0,0,1,0
50,2023-01-01 00:49:00,74,F,south,69,64.15,4254.1,5,two_year,credit_card,2,317.0,0,1,1,0
51,2023-01-01 00:50:00,73,F,south,43,90.25,3838.75,4,month-to-month,electronic_check,3,247.0,1,0,0,0
52,2023-01-01 00:51:00,32,F,west,15,99.1,1426.4,6,month-to-month,credit_card,4,449.8,1,0,0,1
53,2023-01-01 00:52:00,44,F,west,25,69.5,1752.65,5,month-to-month,credit_card,2,543.1,0,0,1,0
54,2023-01-01 00:53:00,52,F,north,8,80.65,633.3,3,month-to-month,credit_card,0,490.5,1,0,0,1
55,2023-01-01 00:54:00,54,F,north,60,74.85,4456.35,7,one_year,credit_card,1,297.0,1,1,1,0
